STATE/UT,CRIME HEAD,Cases Pending Investigation from Previous Year,Cases reported during the year,No. of cases withdrawn by the Govt. during investigation,Cases not investigated or in which investigation was refused,Cases declared false on account of mistake of fact or of law,Cases in which chargesheets were laid,Cases in which charge-sheets were not laid but final report submitted during the year,Total cases (Chargesheeted + Final Report submitted),Cases pending investigation at the end of the year,Cases pending trial from the previous year,Cases sent for trial during the year,No. of cases withdrawn by the Govt.,Total cases for trial during the year,Cases compounded or withdrawn,Cases in which trials were completed,Cases convicted,Cases acquitted or discharged,Cases pending trial at the end of the year
TOTAL (ALL-INDIA),CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),40802,106527,61,155,10235,87633,5980,93613,43265,339902,87633,613,426922,8162,46054,6916,39138,372706
ANDHRA PRADESH,IMPORTATION OF GIRLS (SECTION 366-B IPC),0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
ARUNACHAL PRADESH,IMPORTATION OF GIRLS (SECTION 366-B IPC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,IMPORTATION OF GIRLS (SECTION 366-B IPC),0,2,0,0,0,0,0,0,2,4,0,0,4,0,2,0,2,2
BIHAR,IMPORTATION OF GIRLS (SECTION 366-B IPC),9,4,0,0,1,3,0,3,9,202,3,0,205,0,43,6,37,162
CHHATTISGARH,IMPORTATION OF GIRLS (SECTION 366-B IPC),1,0,0,0,0,1,0,1,0,3,1,0,4,0,1,1,0,3
GOA,IMPORTATION OF GIRLS (SECTION 366-B IPC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,IMPORTATION OF GIRLS (SECTION 366-B IPC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,IMPORTATION OF GIRLS (SECTION 366-B IPC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,IMPORTATION OF GIRLS (SECTION 366-B IPC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,IMPORTATION OF GIRLS (SECTION 366-B IPC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,IMPORTATION OF GIRLS (SECTION 366-B IPC),0,3,0,0,0,3,0,3,0,7,3,0,10,1,3,1,2,6
KARNATAKA,IMPORTATION OF GIRLS (SECTION 366-B IPC),11,32,0,0,2,0,0,0,41,1,0,0,1,0,0,0,0,1
KERALA,IMPORTATION OF GIRLS (SECTION 366-B IPC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,IMPORTATION OF GIRLS (SECTION 366-B IPC),5,6,0,0,0,9,1,10,1,45,9,0,54,8,5,1,4,41
MAHARASHTRA,IMPORTATION OF GIRLS (SECTION 366-B IPC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,IMPORTATION OF GIRLS (SECTION 366-B IPC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,IMPORTATION OF GIRLS (SECTION 366-B IPC),2,0,0,0,0,2,0,2,0,0,2,0,2,0,0,0,0,2
MIZORAM,IMPORTATION OF GIRLS (SECTION 366-B IPC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,IMPORTATION OF GIRLS (SECTION 366-B IPC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,IMPORTATION OF GIRLS (SECTION 366-B IPC),0,0,0,0,0,0,0,0,0,17,0,0,17,0,0,0,0,17
